Accession	100SeedWeightCVARS2016	seedmass	Average10seedslength_mm	Average10seedswidth_mm	width2 	denominator	density
1393-1-2-3(-)	22.44	0.2244	8.33	5.07	25.7049	168.1708818151	0.001334357
24-125-B-1	15.12	0.1512	6.04	5.02	25.2004	119.5457811764	0.0012647874
524B	23.02	0.2302	8.47	5.26	27.6676	184.053796451	0.0012507213
58-53	11.36	0.1136	6.96	3.73	13.9129	76.0530761084	0.0014936937
58-57	12.21	0.1221	5.8	4.01	16.0801	73.249829842	0.0016668981
Apagbaala	14.4	0.144	6.91	3.83	14.6689	79.6096063927	0.0018088269
Bambey_21	16.36	0.1636	8.36	4.04	16.3216	107.1664609886	0.001526597
Bun_22_Ghana	9.88	0.0988	4.95	3.33	11.0889	43.1105483858	0.0022917825
CB27	19.39	0.1939	7.96	4.69	21.9961	137.5145444736	0.0014100327
CB3	22.43	0.2243	8.38	4.99	24.9001	163.8834097345	0.0013686559
CB46	19.33	0.1933	9.43	5.4	29.16	215.9678444932	0.0008950407
CB50	23.2	0.232	8.46	5.43	29.4849	195.9114881653	0.0011842082
CC-110-1	17.56	0.1756	7.14	5.35	28.6225	160.5076207734	0.0010940291
CC-36	16.21	0.1621	6.52	4.67	21.8089	111.6789284373	0.0014514824
CC-85-2	12.81	0.1281	5.63	4.11	16.8921	74.6933468987	0.0017150122
China_501	13.18	0.1318	7.39	4.13	17.0569	98.9998241267	0.0013313155
CRSP_Niebe	22.98	0.2298	7.47	6	36	211.2092741008	0.0010880204
Danila	17.78	0.1778	7.92	4.6	21.16	131.6226790889	0.001350831
Early_Scarlet	15.99	0.1599	6.83	5.12	26.2144	140.6211052275	0.0011370982
Ecute	24.2	0.242	9.67	5.18	26.8324	203.7867179612	0.0011875161
Faef-14-Inhaca-E	12.92	0.1292	6.25	4.21	17.7241	87.0029724242	0.0014850067
FN-1-13-04	16.22	0.1622	6.62	5.06	25.6036	133.1217151563	0.0012184338
FN-1-14-04	17.1	0.171	6.09	5.13	26.3169	125.8757016013	0.001358483
FN-2-11-04	12.53	0.1253	5.72	4.68	21.9024	98.3960390785	0.0012734252
FN-2-13-04	13.71	0.1371	6.03	5.24	27.4576	130.0378461262	0.0010543085
French_Bean	17.8	0.178	8.18	5.17	26.7289	171.7213409716	0.0010365631
Gorda	23.79	0.2379	8.79	5.69	32.3761	223.5132581114	0.0010643664
IAR7/8-4-5-1	15.09	0.1509	6.9	4.72	22.2784	120.7321596597	0.0012498741
Ife_Brown	15.27	0.1527	6.95	4.63	21.4369	117.0136881281	0.0013049755
INIA-120_R	18.99	0.1899	6.35	5.15	26.5225	132.2750897083	0.0014356445
INIA-31	9.54	0.0954	5.77	4.43	19.6249	88.9350896053	0.0010726925
INIA-34	16.48	0.1648	6.73	5.64	31.8096	168.1369455459	0.0009801534
INIA-40	11.02	0.1102	5.4	3.98	15.8404	67.1815137644	0.0016403322
INIA-41	21.64	0.2164	9.12	5.61	31.4721	225.4293413889	0.000959946
INIA-5E	11.18	0.1118	5.83	3.84	14.7456	67.5182045323	0.0016558497
INIA-72	10.18	0.1018	5.38	3.35	11.2225	47.4200241814	0.0021467724
IT00K-901-6	16.49	0.1649	7.47	5.03	25.3009	148.4384645305	0.001110898
IT82E-18	18.69	0.1869	7.55	5.67	32.1489	190.6351369651	0.0009804069
IT83D-442	10.27	0.1027	4.59	4.29	18.4041	66.3463676959	0.001547937
IT84S-2049	14.19	0.1419	6.17	4.65	21.6225	104.7806169323	0.0013542581
IT84S-2246	19.29	0.1929	7.48	5.17	26.7289	157.0263606929	0.0012284562
IT85F-867-5	13.27	0.1327	6.24	4.5	20.25	99.2429119269	0.0013371232
IT86D-364	25.13	0.2513	9.08	5.75	33.0625	235.7824191381	0.0010658131
IT89KD-288	21.35	0.2135	8.04	5.18	26.8324	169.4359061435	0.0012600635
IT93K-452-1	17.07	0.1707	6.64	5.27	27.7729	144.8368900907	0.0011785671
IT93K-503-1	13.96	0.1396	6.88	4.72	22.2784	120.3822113708	0.0011596398
IT95K-1093-5	11.87	0.1187	6.05	4.62	21.3444	101.4213079809	0.0011703655
IT95K-1105-5	23.85	0.2385	9.78	5.97	35.6409	273.7646685899	0.0008711862
IT95K-1479	16.88	0.1688	6.53	5.2	27.04	138.6786961889	0.0012172021
